Имя,Тип,Базовая цена
Балетки 1/24 ,simple,1270
Балетки 1/25 ,simple,1270
Балетки 1/26 ,simple,1270
Балетки 1/27 ,simple,1270
Балетки 1/28 ,simple,1270
Балетки 1/29 ,simple,1270
Балетки 1/30 ,simple,1270
Балетки 1/31 ,simple,1270
Балетки 1/32 ,simple,1270
Балетки 1/33 ,simple,1270
Балетки 1/34 ,simple,1270
Балетки 1/35 ,simple,1270
Балетки 1/36 ,simple,1270
Балетки 2/23 ,simple,1270
Балетки 2/24 ,simple,1270
Балетки 2/25 ,simple,1270
Балетки 2/26 ,simple,1270
Балетки 2/27 ,simple,1270
Балетки 2/28 ,simple,1270
Балетки 2/29 ,simple,1270
Балетки 2/30 ,simple,1270
Балетки 2/31 ,simple,1270
Балетки 2/32 ,simple,1270
Балетки 2/33 ,simple,1270
Балетки 2/34 ,simple,1270
Балетки 2/35 ,simple,1270
Балетки 2/36 ,simple,1270
Чешки кож/1/23 ,simple,1000
Чешки кож/1/24 ,simple,1000
Чешки кож/1/25 ,simple,1000
Чешки кож/1/26 ,simple,1000
Чешки кож/1/27 ,simple,1000
Чешки кож/1/28 ,simple,1000
Чешки кож/1/29 ,simple,1000
Чешки кож/1/30 ,simple,1000
Чешки кож/1/31 ,simple,1000
Чешки кож/1/32 ,simple,1000
Чешки кож/1/33 ,simple,1000
Чешки кож/1/34 ,simple,1000
Чешки кож/1/35 ,simple,1000
Чешки кож/2/23 ,simple,1000
Чешки кож/2/24 ,simple,1000
Чешки кож/2/25 ,simple,1000
Чешки кож/2/26 ,simple,1000
Чешки кож/2/27 ,simple,1000
Чешки кож/2/28 ,simple,1000
Чешки кож/2/29 ,simple,1000
Чешки кож/2/30 ,simple,1000
Чешки кож/2/31 ,simple,1000
Чешки кож/2/32 ,simple,1000
Чешки кож/2/33 ,simple,1000
Чешки кож/2/34 ,simple,1000
Чешки кож/2/35 ,simple,1000
Чешки кож/2/36 ,simple,1000
Шорты у/1/28 ,simple,800
Шорты у/1/30 ,simple,800
Шорты у/1/32 ,simple,800
Шорты у/1/34 ,simple,800
Шорты у/1/6 ,simple,650
Шорты у/1/7 ,simple,650
Шорты у/1/8 ,simple,650
Шорты у/1/9 ,simple,650
Футболка у/2/1 ,simple,600
Футболка у/2/2 ,simple,650
Футболка у/2/3 ,simple,790
Футболка у/2/5 ,simple,950
Футболка у/2/6 ,simple,950
Футболка у/2/7 ,simple,950
Футболка у/2/8 ,simple,950
Футболка у/2/4 ,simple,950
Футболка у/2/9 ,simple,1050
Футболка у/2/10 ,simple,1050
Футболка у/2/11 ,simple,1050
Футболка у/2/12 ,simple,1050
Футболка у/1/1 ,simple,600
Футболка у/1/2 ,simple,600
Футболка у/1/3 ,simple,600
Футболка у/1/4 ,simple,600
Футболка у/1/5 ,simple,700
Футболка у/1/6 ,simple,700
Футболка у/1/7 ,simple,700
Футболка у/1/8 ,simple,700
Футболка у/1/9 ,simple,850
Футболка у/1/10 ,simple,850
Футболка у/1/11 ,simple,850
Футболка у/1/12 ,simple,850
Распашонка у/л/15/0-3 ,simple,450
Распашонка ж/л/12/24-26 ,simple,600
Распашонка у/л/15/0-3 ,simple,500
Распашонка у/л/3+15/0-3 ,simple,440
Распашонка м/л/13/24 ,simple,370
Распашонка у/л/11+15/0-3 ,simple,450
Распашонка ж/л/12+15/0-3 ,simple,300
Распашонка у/л/15/0-3 ,simple,250
Боди ж/л/12/26 ,simple,600
Боди ж/л/12/28 ,simple,600
Боди у/л/11/26 ,simple,600
Боди у/л/11/28 ,simple,600
Боди у/л/5+4/28 ,simple,800
Слип ж/л/2+12/30 ,simple,1600
Слип ж/л/2+12/26 ,simple,1400
Слип у/л/11/26 ,simple,1400
Слип у/л/3/30 ,simple,1600
Подушка ортопед ,simple,450
Носки у/л/41-47 ,simple,190
Носки м/л/41-47 ,simple,300
Носки у/л/36-41 ,simple,300
Носки м/л/16/39-41 ,simple,280
Носки ж/л/12/31-34 ,simple,250
Носки ж/л/5/31-34 ,simple,250
Носки ж/л/2/28-31 ,simple,250
